"filename", "language", "JSON", "Properties", "JavaScript", "Markdown", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\.editorconfig", "Properties", 0, 12, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\angular.json", "JSON", 114, 0, 0, 0, 0, 0, 0, 0, 20, 0, 134
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\e2e\protractor.conf.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 6, 2, 32
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 1, 5, 24
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\karma.conf.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 2, 2, 33
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\package-lock.json", "JSON", 13646, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13647
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\Models\Class.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\Models\Student.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\Models\Subject.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\Models\Teacher.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\Models\Visualization.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
